what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493224840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1452493224853
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452493227758
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452493227877
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452493233130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493234378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493240547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1452493240554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452493241545
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452493257659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493258671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493289199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1452493289211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493291446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493314009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1452493314018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493320597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493342141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1452493342149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452493347237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493351106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493351904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493351964
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1452493352680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493364229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493365163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493365189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493368969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493370001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493370030
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452493374958
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452493376253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493382755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493416239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493418818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493419890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493419931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493427068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493428069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493428366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493432011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493432976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493433078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493437294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493438026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452493438051
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452493440465
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452493445872
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1452493446147
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452493449004
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1452493451587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493464565
error,log,,,"Unable to execute dex: Multiple dex files define Landroid/support/annotation/AnimRes;",1452493489784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493523381
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452493523395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452493526234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493527002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493539453
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452493540579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493541716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493551936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1452493551948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493552549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493558170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493565091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493584629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493585442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493604855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493607073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493619089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493625802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452493628969
