what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936194377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936195152
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1452936197080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936198360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936201725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936236426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936239474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936239482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936242370
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936244439
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936246215
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936248544
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936249023
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936249327
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936249631
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936249919
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1452936250215
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1452936251095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936252433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936254494
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452936263024
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1452936265226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936273893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936276481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936277610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936280050
activated,view,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms.views.LogCatView",1452936287979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936288685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936303837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452936303858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936303866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936307139
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1452936310127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936310187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936311367
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1452936311974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936313169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936315760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936315769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936317391
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1452936318007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936318050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936319716
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1452936320287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1452936340319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452936341529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936341689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936342960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452936362378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452936363266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936366501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936369291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936373405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936374742
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452936377362
activated,view,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms.views.LogCatView",1452936386090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936388559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452936410364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452936412987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452936442461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452936445560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452936460239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452936461109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452936471922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452936472490
