what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1452919443279
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1452919443280
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1452919443280
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1452919443281
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1452919443281
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1452919443282
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1452919443282
started,bundle,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms",1452919443282
os,sysinfo,,,"win32",1452919443284
arch,sysinfo,,,"x86",1452919443284
ws,sysinfo,,,"win32",1452919443284
locale,sysinfo,,,"en_US",1452919443284
processors,sysinfo,,,"4",1452919443284
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452919443284
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1452919443284
java.specification.name,sysinfo,,,"Java Platform API Specification",1452919443284
java.specification.vendor,sysinfo,,,"Oracle Corporation",1452919443284
java.specification.version,sysinfo,,,"1.8",1452919443284
java.vendor,sysinfo,,,"Oracle Corporation",1452919443284
java.version,sysinfo,,,"1.8.0_65",1452919443284
java.vm.info,sysinfo,,,"mixed mode",1452919443284
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1452919443284
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452919443284
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1452919443284
java.vm.specification.version,sysinfo,,,"1.8",1452919443284
java.vm.vendor,sysinfo,,,"Oracle Corporation",1452919443284
java.vm.version,sysinfo,,,"25.65-b01",1452919443284
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1452919443350
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1452919443411
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1452919443431
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1452919443475
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1452919443476
