what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946317640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946318766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452946318785
activated,view,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms.views.LogCatView",1452946332979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946334008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946392203
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452946392242
activated,view,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms.views.LogCatView",1452946392254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946396775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946404842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946405615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946426074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946427247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946449210
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452946451731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452946455077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452946485495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452946493119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452946501077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452946509850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452946510969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452946511756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452946513178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452946513891
started,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1452946516685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452946517013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452946522032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452946524889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452946527366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452946530612
activated,view,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms.views.LogCatView",1452946540014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946540063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946541195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452946541221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946542898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946547202
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452946547221
activated,view,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms.views.LogCatView",1452946547809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946549168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946553504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946554957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452946573720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452946577990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1452946624907
