what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452494903136
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452494906782
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452494906967
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452494907031
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452494908673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494920201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494920288
error,log,,,"com.facebook.widget.LoginButton failed to instantiate.",1452494920613
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452494920858
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452494920932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494921727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494924436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452494929928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452494930537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452494931250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452494931936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452494932880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452494933224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452494935252
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452494936019
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452494936020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494938051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1452494938073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452494938663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494940637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494942339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1452494942361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494944933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494949160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494950107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494950736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494954609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452494959167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495042948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495046702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495046783
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495046916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495046973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495056064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495056144
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1452495056310
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1452495056390
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495058767
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1452495058767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495059838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495059912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495068149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495105436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495106519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495128291
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495130778
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495133835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495139895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495139992
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452495140154
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452495140220
error,log,,,"com.facebook.widget.LoginButton failed to instantiate.",1452495141480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452495147376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452495148201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452495149805
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495153125
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452495153125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495159372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495160399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495210736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495210797
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452495210984
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452495211056
error,log,,,"com.facebook.widget.LoginButton failed to instantiate.",1452495212692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452495218637
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495219890
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1452495219890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495220469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495258443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495261892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495294807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495310453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452495310537
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452495310642
